"","1","2","3","4","5","6","7","8","9","10"
"inevitable.",1,0,0,0,0,0,0,0,0,0
"inherited",1,0,0,0,0,0,0,0,1,0
"inner",1,0,0,0,0,0,0,0,0,0
"inside",1,0,0,0,1,4,2,1,1,2
"insisted",1,0,0,0,0,0,0,0,2,0
"instagram.",1,0,0,0,0,0,0,0,0,0
"intensify",3,0,0,0,0,0,0,0,0,0
"internal",1,0,0,0,0,0,0,0,1,0
"international",4,0,0,2,3,16,8,4,3,9
"intervene",1,0,0,0,0,0,0,0,0,0
"intervention.",1,0,0,0,0,0,0,0,0,0
"interview",1,0,0,0,0,0,0,0,1,1
"into",1,1,0,0,2,3,1,0,1,1
"into.",1,0,0,0,0,0,0,0,0,0
"invade",1,0,0,0,0,0,0,0,0,0
"invented",1,0,0,0,0,0,0,0,0,0
"it.",1,1,0,0,0,1,0,0,0,0
"its",4,1,0,1,3,1,0,1,8,2
"jaime",1,0,0,0,0,0,0,0,0,0
"jobs",4,0,0,0,4,0,0,4,5,0
"joe",1,0,0,0,0,2,0,0,0,0
"joined",1,0,0,0,0,0,0,0,0,0
"jos",1,0,0,0,0,0,1,0,0,1
"juan",5,0,0,10,5,3,1,2,3,2
"just",1,0,2,0,0,1,1,0,2,4
"justicia.",1,0,0,0,0,0,0,0,0,0
"justify",1,0,0,0,0,0,0,0,0,0
"kind",1,0,0,0,0,0,0,0,0,0
"kisbell",1,0,0,0,0,0,0,0,0,0
"lack",1,0,0,1,0,1,0,0,0,0
"leader",2,0,0,5,2,2,1,0,3,1
"leader.",1,0,0,0,0,0,0,0,1,1
"led",1,0,0,0,1,0,0,0,0,1
"legitimate",1,0,0,4,1,1,0,1,0,0
"let",1,0,0,1,0,1,0,0,0,0
"letters",1,0,0,0,1,1,0,1,1,0
"lifestyle",2,0,0,0,2,0,0,2,2,0
"likely",2,0,0,0,0,0,0,0,1,0
"limited",1,0,0,0,1,0,0,1,1,0
"linkedin",1,0,0,0,1,0,0,0,1,0
"live",1,0,3,8,0,3,3,0,0,4
"living",1,0,0,0,0,0,0,0,0,0
"love",1,1,0,0,1,0,0,1,1,0
"loyal",1,0,0,0,0,0,0,0,0,0
"loyalists",1,0,0,0,0,0,0,0,3,0
"luis",2,0,0,1,0,1,1,0,0,1
"maduristas",1,0,0,0,0,0,0,0,0,0
"maduro",19,0,0,14,6,27,4,5,20,14
"maduro,",3,0,0,0,2,2,1,0,8,0
"maduro.",1,0,0,1,0,1,1,0,1,1
"maduros",3,0,0,2,4,0,0,0,7,0
"main",1,0,0,0,1,0,0,1,1,0
"make",2,0,0,2,3,0,0,1,1,0
"man",1,0,0,0,1,8,0,0,3,0
"many",2,0,0,1,1,2,0,0,3,0
"marched",1,0,0,0,0,0,0,0,0,0
"marching",1,0,0,0,0,0,0,0,0,0
"marketing",1,0,0,0,1,0,0,1,1,0
